Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,20.360001,21.770000,20.150000,20.510000,20.224346,689900
2022-10-10,20.490000,20.510000,18.910000,19.389999,19.119944,709400
2022-10-17,19.900000,20.799000,19.900000,20.770000,20.480724,721400
2022-10-24,20.680000,21.610001,20.235001,21.370001,21.072369,546500
2022-10-31,21.280001,21.903999,20.350000,21.410000,21.111809,485900
2022-11-07,21.660000,23.434000,21.020000,23.389999,23.064234,532800
2022-11-14,23.100000,23.520000,22.059999,22.480000,22.166908,478200
2022-11-21,22.330000,22.795000,22.080000,22.500000,22.186628,307100
2022-11-28,22.270000,23.260000,21.900000,23.209999,22.886740,562600
2022-12-05,23.059999,23.150000,21.930000,21.930000,21.624569,798500
2022-12-12,21.879999,23.030001,21.041000,21.160000,20.865294,715400
2022-12-19,21.190001,21.200001,19.900000,20.230000,19.948244,803400
2022-12-26,20.150000,20.200001,19.510000,19.870001,19.593260,842400
2023-01-02,20.280001,20.938000,19.780001,20.900000,20.756567,1171900
2023-01-09,21.160000,22.400000,21.063000,22.309999,22.156891,542900
2023-01-16,22.370001,22.790001,21.690001,22.400000,22.246273,714900
2023-01-23,22.549999,24.000000,22.530001,23.870001,23.706186,653200
2023-01-30,23.500000,25.174999,23.261000,24.530001,24.361658,1200600
2023-02-06,24.170000,24.719999,23.540001,23.730000,23.567146,1116800
2023-02-13,23.740000,24.660000,23.600000,24.059999,23.894882,613200
2023-02-20,23.709999,23.850000,22.799999,23.000000,22.842157,979200
2023-02-27,23.299999,24.240000,22.950001,24.190001,24.023991,458000
2023-03-06,24.270000,24.290001,22.340000,22.440001,22.285999,494700
2023-03-13,22.049999,22.730000,21.660000,22.180000,22.027784,722600
2023-03-20,22.219999,23.208000,22.100000,22.590000,22.434971,630300
2023-03-27,22.709999,23.855000,22.459999,23.840000,23.676392,533400
2023-04-03,23.740000,23.840000,22.469999,22.680000,22.524353,573600
2023-04-10,22.469999,23.309999,22.450001,23.040001,22.881884,545400
2023-04-17,23.020000,23.440001,22.170000,22.290001,22.137030,472100
2023-04-24,22.280001,22.450001,21.791000,22.400000,22.246273,467000
2023-05-01,22.340000,22.650000,21.830000,22.620001,22.464766,844200
2023-05-08,22.690001,22.969999,22.379999,22.570000,22.415108,469900
2023-05-15,22.610001,23.549999,22.521000,23.395000,23.234446,582900
2023-05-22,23.350000,23.840000,22.750000,23.740000,23.577078,666900
2023-05-29,23.959999,24.450001,23.190001,24.440001,24.272274,611800
2023-06-05,24.420000,24.500000,24.190001,24.260000,24.093510,165900
