RegionID,SizeRank,RegionName,RegionType,StateName,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23
102001,0,United States,country,,160785,188435,208172,231377,242101,241493,225786,205617,192610,138137,152473,107512,118715,156113,170034,192913,235980,246430,225724,221652,234092,221747,197961,133437,140930,217754,240214,253508,278798,196447,195563,204738,175272,166697,183066,136123,136772,190487,198946,216117,245728,221916,239081,211485,193610,186997,199417,155549,167756,219721,230355,269373,284700,267798,288882,233990,257472,238753,235687,190305,191814,252263,284527,334141,331276,351072,348032,291894,289306,246955,253661,194786,192636,243207,281517,323101,347372,352477,335666,306344,315280,241455,278698,200205,208822,289934,319321,353320,413390,410501,371562,351128,330442,256204,309391,225593,236703,316737,343939,387899,442210,391260,413888,371299,339447,317250,323852,248752,242675,350080,343691,422720,465378,400459,427251,361896,356245,324176,316636,247825,246646,343037,363794,424279,452039,419689,434644,340019,360898,319515,289205,229709,248537,321669,365385,430150,416526,428737,420747,357493,367064,312656,326179,257041,260265,332244,294274,286331,399803,478878,458192,460446,468348,399914,427641,312034,307437,416059,440695,444816,519699,482730,471479,436766,415155,399345,397397,293471,281266,370222,369188,390222,405338,346538,360276,325100,284782,240432,228813,173218,192893,264982,245914,297124,311054,266987,275126
394913,1,"New York, NY",msa,NY,7538,7972,8710,9066,9664,11718,10855,9936,9187,7161,7632,5544,4703,5474,5656,6676,7898,9599,10186,9924,9743,11958,10325,7674,5951,15364,7932,8432,11780,11707,8910,,7409,7262,7466,6826,6376,7367,7325,7777,9331,9621,10006,8909,7825,6985,7775,7270,6197,7190,7431,9001,10361,11013,11738,9751,9373,8444,9908,9052,7694,9004,9822,12012,12788,15054,15523,13580,13330,10672,11829,9727,7632,8943,9196,10914,12672,14094,13945,12410,12891,10065,12121,9350,8462,9972,10069,11025,14706,16286,15814,14556,14272,11583,13741,10856,10454,11896,11603,12725,16729,15942,18319,16092,14107,13655,14894,12962,10912,13016,12333,15031,18097,16454,19341,16092,15591,14166,14458,12690,10701,12178,12970,14840,17536,17683,18895,14185,15560,13816,13499,11849,9727,11660,12401,14728,15876,17381,17675,14824,15251,13079,14458,13165,10996,11653,9431,9908,12067,14793,17066,18063,20305,18047,21123,18029,15325,18863,17254,16849,21469,21198,21728,18898,19328,17510,18607,16545,13294,15805,14934,15632,17903,16858,17373,14583,12850,11409,10641,8469,7077,8962,8083,9995,11985,10667,12497
753899,2,"Los Angeles, CA",msa,CA,3229,3914,4696,5257,5336,5964,5629,5197,5372,3885,4287,3068,3323,4651,5067,5501,6786,7266,6557,6765,7036,6160,7168,4931,4866,7044,7038,7970,8350,6851,6528,6549,5838,5595,6529,4868,4642,6633,6466,6432,7164,6521,6896,6477,5828,5970,6578,5183,5536,7382,7358,8296,8606,8268,9400,7695,8767,8168,8904,6425,6380,8503,8888,9975,9257,10122,10168,8345,8660,7352,7868,6049,5850,7500,8568,8762,8796,9041,8617,8018,8424,6661,7805,5659,5782,8509,9359,9407,10378,10477,9211,8940,8506,6424,8726,6301,6170,8443,8975,9501,10400,9390,9975,9323,8503,8235,8463,6554,6164,9124,8346,10072,11112,9104,10419,9013,8713,8034,8080,6303,6191,9026,8685,9591,9872,9230,9652,7263,7968,6978,6544,5174,5490,7392,8384,9359,8829,9199,9327,8222,8600,7364,7860,6210,6257,7564,5499,4442,6697,9198,9277,9938,10086,8834,10031,7411,7164,10315,11025,10147,11263,10381,10029,9680,9405,8857,8887,6422,6389,9291,8987,8559,8350,6870,7127,6422,5499,4695,4424,3581,3866,5661,5083,6075,6144,5360,6310
394463,3,"Chicago, IL",msa,IL,4285,5465,5838,6378,7163,7104,6716,6008,5062,3423,3602,2448,2473,3440,3749,4644,6015,6545,6139,5944,6267,5979,4958,3327,3218,5074,6181,6801,8350,4968,4979,4522,4233,3884,4242,3219,2957,4310,4573,5518,6616,5840,6363,5228,4939,4794,5214,3936,3959,5408,5891,7250,8104,7504,7967,6141,6915,6105,5722,4952,4444,5994,7341,9363,9825,10389,10302,8411,8574,6924,7206,5306,5068,6537,7854,9336,11171,11428,10306,9463,9495,6892,7833,5462,5285,7731,9048,10721,13599,13075,11783,10586,10084,7191,8579,6356,6299,8842,10669,12113,14701,12826,13415,11079,9865,8965,8667,6935,6020,9969,10579,13297,15210,12239,12779,10333,9631,8546,8329,6278,5863,9770,11928,14316,15531,13611,13529,10372,10729,9343,8114,6041,6368,8977,11023,13338,13430,13311,12410,10149,9989,8496,8643,6394,6560,9306,9497,8443,11027,14601,14488,14307,15518,12956,12847,10159,9632,12772,14071,14395,17479,16291,15757,13455,12206,11496,10698,8477,7266,9999,10704,11452,12462,10331,10295,9206,7761,6690,6108,4394,4553,7160,6994,8739,9511,7820,8267
394514,4,"Dallas, TX",msa,TX,4887,5682,6090,6801,6777,6713,6423,5599,4768,3588,4098,3031,3710,4704,4776,5442,6104,6448,5631,5310,5579,5009,4457,2970,3661,5444,6434,6619,6175,4550,4720,4245,3995,3793,4128,2916,3220,4761,5029,5524,6061,5403,5933,4822,4293,4207,4441,3432,4104,5431,5720,6862,7082,6712,7155,5397,5684,5101,5157,4259,4816,6868,7537,8516,8189,8713,8601,6805,6429,5377,5707,4278,5039,6440,7092,8240,8730,8647,8267,7065,7009,5294,6322,4265,5090,6843,7196,8345,9263,9374,8868,7842,7013,5716,7198,4952,5947,7560,7838,8541,9244,8598,9264,8110,7166,6780,7027,5052,5733,7916,7686,9283,9732,8816,9193,7630,7254,6938,7029,5142,5980,7578,7740,9117,9211,8919,8893,6954,6938,6202,6311,4488,5804,7354,8122,9307,8502,9284,8997,7376,7378,6182,7272,5306,6254,7625,6427,6608,9786,11540,9991,9583,9323,7948,8858,5823,6093,8195,9113,9267,10254,9862,9885,9396,8742,8449,8466,5986,6168,7612,7596,8294,8370,7523,7874,6967,5907,4833,4753,3471,4884,6169,5933,7398,7279,6304,6625
395209,6,"Washington, DC",msa,VA,3149,3755,4200,4589,5291,4831,4473,4352,4045,3004,3659,2351,2717,3913,4342,4940,6156,5776,5407,5131,5217,5086,4564,3620,3310,5108,5882,6217,7023,4838,5564,4503,4109,4111,4386,3225,3181,4364,4589,5107,6221,5322,5224,4438,3958,3988,4195,3215,3403,4477,5164,6292,6762,5996,6132,4753,4994,5357,4816,3956,3964,5211,6190,7581,8090,7544,7145,5640,5821,4705,5348,3650,3844,4771,5828,6844,7644,6997,6484,5582,5786,4600,5683,3865,4004,5540,6490,7359,9075,8276,7228,6507,6107,5113,6404,4278,4528,5951,7159,8561,9727,8252,8355,6854,6637,6318,6405,5222,5172,7210,7742,9349,10334,8498,8244,6897,7055,6387,6109,4888,4870,6748,7728,9209,9868,8735,8201,6150,6858,6422,5977,4834,4936,6836,8065,9673,9261,8898,8200,6914,7377,6151,6641,5149,5321,7257,7004,6637,8650,9837,9561,9705,9938,8648,8886,6358,6878,9151,10839,11116,12694,11190,10584,9429,9385,9261,8548,5891,6048,8452,8775,9351,9253,7385,7268,6462,5710,4833,4492,3230,4176,5476,5530,6761,6907,5431,5441
394974,7,"Philadelphia, PA",msa,PA,3420,4155,4805,4931,5525,6093,5378,5667,4796,3391,3664,2584,2511,3255,3573,4054,5346,5483,5313,4721,5128,5628,4022,2663,2535,4055,4692,5465,6828,3924,3677,3401,3264,3070,3506,2626,2331,3310,3420,3904,4761,4180,4497,3619,3463,3434,3545,2914,2741,3755,3929,4706,5401,4919,5307,4069,4112,4548,4062,3504,3003,4067,4753,5739,6402,6263,6057,4842,4901,4173,4495,3311,2763,3601,4287,5271,6395,6152,5840,5082,5069,4219,5017,3565,3326,4398,5119,5972,7721,7778,6890,6038,5767,4593,5633,4272,4139,4950,5734,6842,8745,7194,7540,6401,5900,5824,5905,4573,4015,5943,6171,7640,9154,7954,8038,6648,6459,6195,6062,4731,3829,5619,6293,7637,9356,8379,8240,6334,6653,6331,5713,4461,4202,5695,6482,7981,8545,8076,7810,6548,6372,5675,6120,4967,4370,5851,5214,4444,5889,8623,8850,8774,9421,8220,8594,6390,5747,7486,8024,8250,10855,10070,10478,9776,8922,8608,10771,8020,6095,7530,7294,7564,8701,7386,7745,6642,5752,5140,4857,3545,3587,4936,4795,5519,6370,5046,5229
394856,8,"Miami, FL",msa,FL,3379,3971,4300,4248,4320,3936,3522,3338,3470,2631,3455,2522,2808,3829,3924,4052,4764,4751,4517,4649,5207,4804,5570,4038,4276,6180,6360,5757,6445,5054,4934,4750,4525,4599,5583,4356,4759,6549,6757,6610,6696,5707,6322,5759,5273,5368,6164,5048,5453,7187,7296,7468,7244,6694,7195,5887,6729,6417,7103,5750,6025,7667,8499,8733,7853,8110,7769,6777,7039,6008,6992,5603,5704,7097,8131,8025,7661,7532,7040,6888,7370,5748,7550,5489,5905,8002,8430,8262,8965,8983,7764,7683,7549,6125,7881,5830,6356,8580,8750,8874,9613,8330,8896,8077,7106,6933,8034,6351,6544,9455,8705,9809,9864,8411,9015,5982,7417,7044,7976,6610,6634,9177,9284,9452,9623,8644,8763,7033,7770,7124,6994,5670,6208,8400,9569,10344,8973,9486,8671,7813,7921,7066,8442,6786,6687,8950,6478,4965,7320,9715,9749,9579,10422,9174,11348,8477,9100,13184,13644,12667,14075,12339,11280,10210,9754,9791,10907,8716,8630,11638,11258,10428,9760,7761,7810,6840,6522,5595,5658,4413,5149,7804,6819,7785,7294,6073,6548
394347,9,"Atlanta, GA",msa,GA,4071,4381,4483,4735,4962,4831,4391,4311,3816,2683,3239,2319,2606,3475,3438,3508,4548,4789,4181,4142,4370,4261,4135,2758,3168,4442,4770,5028,5410,4121,3886,3579,3524,3189,3577,2596,2882,4266,4151,4616,5197,4811,4474,3975,3652,3398,3712,3040,3245,4144,4014,4711,5111,4724,5051,4037,4513,4250,4106,3710,3706,4887,5217,6227,6069,6565,6329,5241,5333,4537,4684,3773,4053,5125,5772,6876,7196,7092,6721,6040,6255,4842,5701,4190,4588,6662,7224,7948,8798,8699,7916,7194,6658,5338,6589,4799,5564,7609,8142,9443,10173,9527,9767,8548,7905,7290,7824,5559,6254,9521,8791,10709,11239,9737,9936,8327,8388,7563,7570,5599,6468,9001,9358,10732,10636,10091,9800,8034,8246,7397,6784,5294,6614,8717,9389,10780,10014,10080,9523,8148,8341,6980,7854,5640,6897,8334,7283,7022,10017,11181,10646,10394,10480,8828,9712,6801,7484,10510,10836,10824,12290,11489,11015,9584,8957,9297,8656,6599,7265,9542,9032,9398,9106,7864,7751,7160,6194,5201,5305,3837,4955,6808,6156,6981,6862,5688,6095
394404,10,"Boston, MA",msa,MA,1766,2080,2542,3124,4076,3738,3547,2801,2751,1931,2163,1359,1290,1806,2061,2675,3813,4183,4013,3089,3332,3402,2774,1777,1656,2591,3293,3669,4953,2895,3145,2533,2316,2341,2757,1874,1509,2326,2664,3253,4519,3746,4102,3093,2639,2769,2945,2015,1961,2714,3148,4081,5287,4811,5261,3329,3626,3907,3673,2547,2112,2926,3628,5077,6146,6506,6141,4539,4253,3779,3923,2667,2035,2866,3580,4827,6286,6254,5758,4538,4532,3624,4189,2717,2138,2847,3334,4598,7164,7410,6527,5355,4926,4034,4827,3385,2599,3541,4137,5385,7518,6053,6910,5407,4770,4687,4578,3520,2508,3850,3870,5602,7660,6327,6797,5150,5013,4889,4404,3345,2428,3555,4076,5366,7428,6556,6969,4701,4852,4971,3933,2994,2695,3628,4258,5764,6511,6477,6471,4812,5056,4612,4806,3354,2657,3724,3803,3786,5120,6863,6979,6425,6439,5516,6005,3851,2991,4450,5189,5976,7887,7010,6764,5889,4870,5496,5417,3382,2582,3587,3958,5036,6689,5359,5483,4652,3837,3620,3431,2186,1864,2746,2759,3582,4824,3914,4138
